customer_id,customer_name,customer_contact,email
1,Rahul Sharma,9876543210,rahul.sharma@email.com
2,Priya Nair,9876543211,priya.nair@email.com
3,Arjun Kumar,9876543212,arjun.kumar@email.com
4,Sneha Reddy,9876543213,sneha.reddy@email.com
5,Vikram Singh,9876543214,vikram.singh@email.com
6,Ananya Iyer,9876543215,ananya.iyer@email.com
7,Karthik Raj,9876543216,karthik.raj@email.com
8,Meera Menon,9876543217,meera.menon@email.com
9,Rohit Verma,9876543218,rohit.verma@email.com
10,Divya Patel,9876543219,divya.patel@email.com
